scope,replicate,policy,unit,group_value_aggregation,auc20,hit_count20,total_top_units,recall20,first_hit,hit_positions
external_candidate,54,shuffled_neighbor_family_first_consensus,provenance_group,max,9,2,4,0.5,14,14;19
external_candidate,55,shuffled_neighbor_family_first_consensus,provenance_group,max,13,3,4,0.75,14,14;17;19
external_candidate,56,shuffled_neighbor_family_first_consensus,provenance_group,max,14,2,4,0.5,10,10;18
external_candidate,57,shuffled_neighbor_family_first_consensus,provenance_group,max,18,1,4,0.25,3,3
external_candidate,58,shuffled_neighbor_family_first_consensus,provenance_group,max,2,1,4,0.25,19,19
external_candidate,59,shuffled_neighbor_family_first_consensus,provenance_group,max,13,1,4,0.25,8,8
external_candidate,60,shuffled_neighbor_family_first_consensus,provenance_group,max,22,2,4,0.5,1,1;19
external_candidate,61,shuffled_neighbor_family_first_consensus,provenance_group,max,35,2,4,0.5,3,3;4
external_candidate,62,shuffled_neighbor_family_first_consensus,provenance_group,max,26,2,4,0.5,4,4;12
external_candidate,63,shuffled_neighbor_family_first_consensus,provenance_group,max,30,2,4,0.5,4,4;8
external_candidate,64,shuffled_neighbor_family_first_consensus,provenance_group,max,33,2,4,0.5,2,2;7
external_candidate,65,shuffled_neighbor_family_first_consensus,provenance_group,max,15,2,4,0.5,7,7;20
external_candidate,66,shuffled_neighbor_family_first_consensus,provenance_group,max,20,2,4,0.5,5,5;17
external_candidate,67,shuffled_neighbor_family_first_consensus,provenance_group,max,11,1,4,0.25,10,10
external_candidate,68,shuffled_neighbor_family_first_consensus,provenance_group,max,27,2,4,0.5,7,7;8
external_candidate,69,shuffled_neighbor_family_first_consensus,provenance_group,max,30,2,4,0.5,4,4;8
external_candidate,70,shuffled_neighbor_family_first_consensus,provenance_group,max,30,2,4,0.5,5,5;7
external_candidate,71,shuffled_neighbor_family_first_consensus,provenance_group,max,21,2,4,0.5,8,8;13
external_candidate,72,shuffled_neighbor_family_first_consensus,provenance_group,max,7,1,4,0.25,14,14
external_candidate,73,shuffled_neighbor_family_first_consensus,provenance_group,max,30,2,4,0.5,3,3;9
external_candidate,74,shuffled_neighbor_family_first_consensus,provenance_group,max,1,1,4,0.25,20,20
external_candidate,75,shuffled_neighbor_family_first_consensus,provenance_group,max,26,2,4,0.5,2,2;14
external_candidate,76,shuffled_neighbor_family_first_consensus,provenance_group,max,19,3,4,0.75,12,12;15;17
external_candidate,77,shuffled_neighbor_family_first_consensus,provenance_group,max,13,2,4,0.5,10,10;19
external_candidate,78,shuffled_neighbor_family_first_consensus,provenance_group,max,17,2,4,0.5,6,6;19
external_candidate,79,shuffled_neighbor_family_first_consensus,provenance_group,max,12,2,4,0.5,10,10;20
external_candidate,80,shuffled_neighbor_family_first_consensus,provenance_group,max,8,1,4,0.25,13,13
external_candidate,81,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,82,shuffled_neighbor_family_first_consensus,provenance_group,max,43,3,4,0.75,4,4;6;10
external_candidate,83,shuffled_neighbor_family_first_consensus,provenance_group,max,14,1,4,0.25,7,7
external_candidate,84,shuffled_neighbor_family_first_consensus,provenance_group,max,7,1,4,0.25,14,14
external_candidate,85,shuffled_neighbor_family_first_consensus,provenance_group,max,6,1,4,0.25,15,15
external_candidate,86,shuffled_neighbor_family_first_consensus,provenance_group,max,17,2,4,0.5,6,6;19
external_candidate,87,shuffled_neighbor_family_first_consensus,provenance_group,max,15,1,4,0.25,6,6
external_candidate,88,shuffled_neighbor_family_first_consensus,provenance_group,max,17,2,4,0.5,6,6;19
external_candidate,89,shuffled_neighbor_family_first_consensus,provenance_group,max,3,1,4,0.25,18,18
external_candidate,90,shuffled_neighbor_family_first_consensus,provenance_group,max,7,1,4,0.25,14,14
external_candidate,91,shuffled_neighbor_family_first_consensus,provenance_group,max,27,2,4,0.5,1,1;14
external_candidate,92,shuffled_neighbor_family_first_consensus,provenance_group,max,25,2,4,0.5,4,4;13
external_candidate,93,shuffled_neighbor_family_first_consensus,provenance_group,max,47,3,4,0.75,1,1;4;11
external_candidate,94,shuffled_neighbor_family_first_consensus,provenance_group,max,34,2,4,0.5,2,2;6
external_candidate,95,shuffled_neighbor_family_first_consensus,provenance_group,max,6,1,4,0.25,15,15
external_candidate,96,shuffled_neighbor_family_first_consensus,provenance_group,max,33,2,4,0.5,4,4;5
external_candidate,97,shuffled_neighbor_family_first_consensus,provenance_group,max,2,1,4,0.25,19,19
external_candidate,98,shuffled_neighbor_family_first_consensus,provenance_group,max,33,2,4,0.5,4,4;5
external_candidate,99,shuffled_neighbor_family_first_consensus,provenance_group,max,31,2,4,0.5,2,2;9
external_candidate,100,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,101,shuffled_neighbor_family_first_consensus,provenance_group,max,31,2,4,0.5,5,5;6
external_candidate,102,shuffled_neighbor_family_first_consensus,provenance_group,max,5,1,4,0.25,16,16
external_candidate,103,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,104,shuffled_neighbor_family_first_consensus,provenance_group,max,25,2,4,0.5,6,6;11
external_candidate,105,shuffled_neighbor_family_first_consensus,provenance_group,max,29,3,4,0.75,3,3;12;19
external_candidate,106,shuffled_neighbor_family_first_consensus,provenance_group,max,23,3,4,0.75,11,11;12;17
external_candidate,107,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,108,shuffled_neighbor_family_first_consensus,provenance_group,max,19,1,4,0.25,2,2
external_candidate,109,shuffled_neighbor_family_first_consensus,provenance_group,max,6,1,4,0.25,15,15
external_candidate,110,shuffled_neighbor_family_first_consensus,provenance_group,max,23,2,4,0.5,1,1;18
external_candidate,111,shuffled_neighbor_family_first_consensus,provenance_group,max,26,2,4,0.5,7,7;9
external_candidate,112,shuffled_neighbor_family_first_consensus,provenance_group,max,9,1,4,0.25,12,12
external_candidate,113,shuffled_neighbor_family_first_consensus,provenance_group,max,33,2,4,0.5,2,2;7
external_candidate,114,shuffled_neighbor_family_first_consensus,provenance_group,max,9,1,4,0.25,12,12
external_candidate,115,shuffled_neighbor_family_first_consensus,provenance_group,max,34,3,4,0.75,6,6;7;16
external_candidate,116,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,117,shuffled_neighbor_family_first_consensus,provenance_group,max,22,2,4,0.5,4,4;16
external_candidate,118,shuffled_neighbor_family_first_consensus,provenance_group,max,13,2,4,0.5,14,14;15
external_candidate,119,shuffled_neighbor_family_first_consensus,provenance_group,max,15,2,4,0.5,7,7;20
external_candidate,120,shuffled_neighbor_family_first_consensus,provenance_group,max,23,2,4,0.5,4,4;15
external_candidate,121,shuffled_neighbor_family_first_consensus,provenance_group,max,22,2,4,0.5,1,1;19
external_candidate,122,shuffled_neighbor_family_first_consensus,provenance_group,max,15,1,4,0.25,6,6
external_candidate,123,shuffled_neighbor_family_first_consensus,provenance_group,max,2,1,4,0.25,19,19
external_candidate,124,shuffled_neighbor_family_first_consensus,provenance_group,max,24,2,4,0.5,5,5;13
external_candidate,125,shuffled_neighbor_family_first_consensus,provenance_group,max,23,2,4,0.5,7,7;12
external_candidate,126,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,127,shuffled_neighbor_family_first_consensus,provenance_group,max,20,2,4,0.5,6,6;16
external_candidate,128,shuffled_neighbor_family_first_consensus,provenance_group,max,30,2,4,0.5,1,1;11
external_candidate,129,shuffled_neighbor_family_first_consensus,provenance_group,max,15,2,4,0.5,8,8;19
external_candidate,130,shuffled_neighbor_family_first_consensus,provenance_group,max,24,2,4,0.5,8,8;10
external_candidate,131,shuffled_neighbor_family_first_consensus,provenance_group,max,25,2,4,0.5,6,6;11
external_candidate,132,shuffled_neighbor_family_first_consensus,provenance_group,max,25,2,4,0.5,1,1;16
external_candidate,133,shuffled_neighbor_family_first_consensus,provenance_group,max,25,2,4,0.5,8,8;9
external_candidate,134,shuffled_neighbor_family_first_consensus,provenance_group,max,8,1,4,0.25,13,13
external_candidate,135,shuffled_neighbor_family_first_consensus,provenance_group,max,18,2,4,0.5,8,8;16
external_candidate,136,shuffled_neighbor_family_first_consensus,provenance_group,max,8,2,4,0.5,16,16;18
external_candidate,137,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,138,shuffled_neighbor_family_first_consensus,provenance_group,max,8,2,4,0.5,15,15;19
external_candidate,139,shuffled_neighbor_family_first_consensus,provenance_group,max,9,2,4,0.5,15,15;18
external_candidate,140,shuffled_neighbor_family_first_consensus,provenance_group,max,22,2,4,0.5,7,7;13
external_candidate,141,shuffled_neighbor_family_first_consensus,provenance_group,max,15,2,4,0.5,11,11;16
external_candidate,142,shuffled_neighbor_family_first_consensus,provenance_group,max,20,1,4,0.25,1,1
external_candidate,143,shuffled_neighbor_family_first_consensus,provenance_group,max,32,2,4,0.5,4,4;6
external_candidate,144,shuffled_neighbor_family_first_consensus,provenance_group,max,16,1,4,0.25,5,5
external_candidate,145,shuffled_neighbor_family_first_consensus,provenance_group,max,29,2,4,0.5,2,2;11
external_candidate,146,shuffled_neighbor_family_first_consensus,provenance_group,max,25,2,4,0.5,1,1;16
external_candidate,147,shuffled_neighbor_family_first_consensus,provenance_group,max,40,3,4,0.75,2,2;5;16
external_candidate,148,shuffled_neighbor_family_first_consensus,provenance_group,max,10,1,4,0.25,11,11
external_candidate,149,shuffled_neighbor_family_first_consensus,provenance_group,max,18,2,4,0.5,4,4;20
external_candidate,150,shuffled_neighbor_family_first_consensus,provenance_group,max,33,3,4,0.75,2,2;12;16
external_candidate,151,shuffled_neighbor_family_first_consensus,provenance_group,max,5,1,4,0.25,16,16
external_candidate,152,shuffled_neighbor_family_first_consensus,provenance_group,max,9,2,4,0.5,14,14;19
external_candidate,153,shuffled_neighbor_family_first_consensus,provenance_group,max,13,1,4,0.25,8,8
external_candidate,154,shuffled_neighbor_family_first_consensus,provenance_group,max,2,1,4,0.25,19,19
external_candidate,155,shuffled_neighbor_family_first_consensus,provenance_group,max,21,2,4,0.5,1,1;20
external_candidate,156,shuffled_neighbor_family_first_consensus,provenance_group,max,37,2,4,0.5,2,2;3
external_candidate,157,shuffled_neighbor_family_first_consensus,provenance_group,max,7,1,4,0.25,14,14
external_candidate,158,shuffled_neighbor_family_first_consensus,provenance_group,max,4,1,4,0.25,17,17
external_candidate,159,shuffled_neighbor_family_first_consensus,provenance_group,max,21,2,4,0.5,2,2;19
external_candidate,160,shuffled_neighbor_family_first_consensus,provenance_group,max,11,1,4,0.25,10,10
external_candidate,161,shuffled_neighbor_family_first_consensus,provenance_group,max,20,2,4,0.5,8,8;14
external_candidate,162,shuffled_neighbor_family_first_consensus,provenance_group,max,28,3,4,0.75,5,5;13;17
external_candidate,163,shuffled_neighbor_family_first_consensus,provenance_group,max,36,3,4,0.75,6,6;8;13
external_candidate,164,shuffled_neighbor_family_first_consensus,provenance_group,max,20,1,4,0.25,1,1
external_candidate,165,shuffled_neighbor_family_first_consensus,provenance_group,max,18,1,4,0.25,3,3
external_candidate,166,shuffled_neighbor_family_first_consensus,provenance_group,max,33,2,4,0.5,1,1;8
external_candidate,167,shuffled_neighbor_family_first_consensus,provenance_group,max,5,1,4,0.25,16,16
external_candidate,168,shuffled_neighbor_family_first_consensus,provenance_group,max,17,2,4,0.5,5,5;20
external_candidate,169,shuffled_neighbor_family_first_consensus,provenance_group,max,31,3,4,0.75,2,2;14;16
external_candidate,170,shuffled_neighbor_family_first_consensus,provenance_group,max,17,1,4,0.25,4,4
external_candidate,171,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,172,shuffled_neighbor_family_first_consensus,provenance_group,max,33,2,4,0.5,1,1;8
external_candidate,173,shuffled_neighbor_family_first_consensus,provenance_group,max,36,2,4,0.5,1,1;5
external_candidate,174,shuffled_neighbor_family_first_consensus,provenance_group,max,30,2,4,0.5,3,3;9
external_candidate,175,shuffled_neighbor_family_first_consensus,provenance_group,max,1,1,4,0.25,20,20
external_candidate,176,shuffled_neighbor_family_first_consensus,provenance_group,max,41,3,4,0.75,2,2;8;12
external_candidate,177,shuffled_neighbor_family_first_consensus,provenance_group,max,18,1,4,0.25,3,3
external_candidate,178,shuffled_neighbor_family_first_consensus,provenance_group,max,22,2,4,0.5,5,5;15
external_candidate,179,shuffled_neighbor_family_first_consensus,provenance_group,max,27,2,4,0.5,2,2;13
external_candidate,180,shuffled_neighbor_family_first_consensus,provenance_group,max,35,2,4,0.5,2,2;5
external_candidate,181,shuffled_neighbor_family_first_consensus,provenance_group,max,48,3,4,0.75,1,1;3;11
external_candidate,182,shuffled_neighbor_family_first_consensus,provenance_group,max,12,2,4,0.5,12,12;18
external_candidate,183,shuffled_neighbor_family_first_consensus,provenance_group,max,14,2,4,0.5,11,11;17
external_candidate,184,shuffled_neighbor_family_first_consensus,provenance_group,max,31,2,4,0.5,5,5;6
external_candidate,185,shuffled_neighbor_family_first_consensus,provenance_group,max,8,1,4,0.25,13,13
external_candidate,186,shuffled_neighbor_family_first_consensus,provenance_group,max,53,4,4,1.0,1,1;5;10;15
external_candidate,187,shuffled_neighbor_family_first_consensus,provenance_group,max,53,3,4,0.75,1,1;4;5
external_candidate,188,shuffled_neighbor_family_first_consensus,provenance_group,max,24,2,4,0.5,3,3;15
external_candidate,189,shuffled_neighbor_family_first_consensus,provenance_group,max,14,2,4,0.5,10,10;18
external_candidate,190,shuffled_neighbor_family_first_consensus,provenance_group,max,32,2,4,0.5,3,3;7
external_candidate,191,shuffled_neighbor_family_first_consensus,provenance_group,max,25,3,4,0.75,11,11;12;15
external_candidate,192,shuffled_neighbor_family_first_consensus,provenance_group,max,34,4,4,1.0,2,2;13;15;20
external_candidate,193,shuffled_neighbor_family_first_consensus,provenance_group,max,5,1,4,0.25,16,16
external_candidate,194,shuffled_neighbor_family_first_consensus,provenance_group,max,15,2,4,0.5,10,10;17
external_candidate,195,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,196,shuffled_neighbor_family_first_consensus,provenance_group,max,24,2,4,0.5,5,5;13
external_candidate,197,shuffled_neighbor_family_first_consensus,provenance_group,max,19,2,4,0.5,8,8;15
external_candidate,198,shuffled_neighbor_family_first_consensus,provenance_group,max,31,3,4,0.75,7,7;11;14
external_candidate,199,shuffled_neighbor_family_first_consensus,provenance_group,max,12,3,4,0.75,15,15;16;20
external_candidate,200,shuffled_neighbor_family_first_consensus,provenance_group,max,6,1,4,0.25,15,15
external_candidate,201,shuffled_neighbor_family_first_consensus,provenance_group,max,37,3,4,0.75,2,2;10;14
external_candidate,202,shuffled_neighbor_family_first_consensus,provenance_group,max,13,2,4,0.5,13,13;16
external_candidate,203,shuffled_neighbor_family_first_consensus,provenance_group,max,35,2,4,0.5,2,2;5
external_candidate,204,shuffled_neighbor_family_first_consensus,provenance_group,max,5,2,4,0.5,18,18;19
external_candidate,205,shuffled_neighbor_family_first_consensus,provenance_group,max,18,2,4,0.5,6,6;18
external_candidate,206,shuffled_neighbor_family_first_consensus,provenance_group,max,11,2,4,0.5,11,11;20
external_candidate,207,shuffled_neighbor_family_first_consensus,provenance_group,max,12,1,4,0.25,9,9
external_candidate,208,shuffled_neighbor_family_first_consensus,provenance_group,max,41,3,4,0.75,2,2;3;17
external_candidate,209,shuffled_neighbor_family_first_consensus,provenance_group,max,15,1,4,0.25,6,6
external_candidate,210,shuffled_neighbor_family_first_consensus,provenance_group,max,20,2,4,0.5,9,9;13
external_candidate,211,shuffled_neighbor_family_first_consensus,provenance_group,max,33,3,4,0.75,4,4;6;20
external_candidate,212,shuffled_neighbor_family_first_consensus,provenance_group,max,6,1,4,0.25,15,15
external_candidate,213,shuffled_neighbor_family_first_consensus,provenance_group,max,1,1,4,0.25,20,20
external_candidate,214,shuffled_neighbor_family_first_consensus,provenance_group,max,20,1,4,0.25,1,1
external_candidate,215,shuffled_neighbor_family_first_consensus,provenance_group,max,11,2,4,0.5,14,14;17
external_candidate,216,shuffled_neighbor_family_first_consensus,provenance_group,max,17,1,4,0.25,4,4
external_candidate,217,shuffled_neighbor_family_first_consensus,provenance_group,max,19,1,4,0.25,2,2
external_candidate,218,shuffled_neighbor_family_first_consensus,provenance_group,max,13,1,4,0.25,8,8
external_candidate,219,shuffled_neighbor_family_first_consensus,provenance_group,max,1,1,4,0.25,20,20
external_candidate,220,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,221,shuffled_neighbor_family_first_consensus,provenance_group,max,24,2,4,0.5,1,1;17
external_candidate,222,shuffled_neighbor_family_first_consensus,provenance_group,max,25,2,4,0.5,3,3;14
external_candidate,223,shuffled_neighbor_family_first_consensus,provenance_group,max,27,3,4,0.75,11,11;12;13
external_candidate,224,shuffled_neighbor_family_first_consensus,provenance_group,max,21,2,4,0.5,8,8;13
external_candidate,225,shuffled_neighbor_family_first_consensus,provenance_group,max,22,2,4,0.5,6,6;14
external_candidate,226,shuffled_neighbor_family_first_consensus,provenance_group,max,16,2,4,0.5,6,6;20
external_candidate,227,shuffled_neighbor_family_first_consensus,provenance_group,max,16,1,4,0.25,5,5
external_candidate,228,shuffled_neighbor_family_first_consensus,provenance_group,max,3,1,4,0.25,18,18
external_candidate,229,shuffled_neighbor_family_first_consensus,provenance_group,max,25,2,4,0.5,6,6;11
external_candidate,230,shuffled_neighbor_family_first_consensus,provenance_group,max,5,1,4,0.25,16,16
external_candidate,231,shuffled_neighbor_family_first_consensus,provenance_group,max,6,1,4,0.25,15,15
external_candidate,232,shuffled_neighbor_family_first_consensus,provenance_group,max,18,2,4,0.5,11,11;13
external_candidate,233,shuffled_neighbor_family_first_consensus,provenance_group,max,18,2,4,0.5,7,7;17
external_candidate,234,shuffled_neighbor_family_first_consensus,provenance_group,max,19,1,4,0.25,2,2
external_candidate,235,shuffled_neighbor_family_first_consensus,provenance_group,max,39,3,4,0.75,3,3;5;16
external_candidate,236,shuffled_neighbor_family_first_consensus,provenance_group,max,9,1,4,0.25,12,12
external_candidate,237,shuffled_neighbor_family_first_consensus,provenance_group,max,9,1,4,0.25,12,12
external_candidate,238,shuffled_neighbor_family_first_consensus,provenance_group,max,19,2,4,0.5,7,7;16
external_candidate,239,shuffled_neighbor_family_first_consensus,provenance_group,max,28,3,4,0.75,2,2;16;17
external_candidate,240,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,241,shuffled_neighbor_family_first_consensus,provenance_group,max,13,1,4,0.25,8,8
external_candidate,242,shuffled_neighbor_family_first_consensus,provenance_group,max,7,1,4,0.25,14,14
external_candidate,243,shuffled_neighbor_family_first_consensus,provenance_group,max,18,2,4,0.5,6,6;18
external_candidate,244,shuffled_neighbor_family_first_consensus,provenance_group,max,9,1,4,0.25,12,12
external_candidate,245,shuffled_neighbor_family_first_consensus,provenance_group,max,42,4,4,1.0,6,6;10;12;14
external_candidate,246,shuffled_neighbor_family_first_consensus,provenance_group,max,37,3,4,0.75,1,1;5;20
external_candidate,247,shuffled_neighbor_family_first_consensus,provenance_group,max,12,1,4,0.25,9,9
external_candidate,248,shuffled_neighbor_family_first_consensus,provenance_group,max,39,3,4,0.75,2,2;6;16
external_candidate,249,shuffled_neighbor_family_first_consensus,provenance_group,max,21,3,4,0.75,11,11;13;18
external_candidate,250,shuffled_neighbor_family_first_consensus,provenance_group,max,27,2,4,0.5,2,2;13
external_candidate,251,shuffled_neighbor_family_first_consensus,provenance_group,max,26,3,4,0.75,2,2;16;19
external_candidate,252,shuffled_neighbor_family_first_consensus,provenance_group,max,18,1,4,0.25,3,3
external_candidate,253,shuffled_neighbor_family_first_consensus,provenance_group,max,29,3,4,0.75,7,7;8;19
external_candidate,254,shuffled_neighbor_family_first_consensus,provenance_group,max,26,2,4,0.5,1,1;15
external_candidate,255,shuffled_neighbor_family_first_consensus,provenance_group,max,29,3,4,0.75,7,7;9;18
external_candidate,256,shuffled_neighbor_family_first_consensus,provenance_group,max,27,2,4,0.5,3,3;12
external_candidate,257,shuffled_neighbor_family_first_consensus,provenance_group,max,11,1,4,0.25,10,10
external_candidate,258,shuffled_neighbor_family_first_consensus,provenance_group,max,39,4,4,1.0,2,2;10;14;19
external_candidate,259,shuffled_neighbor_family_first_consensus,provenance_group,max,4,1,4,0.25,17,17
external_candidate,260,shuffled_neighbor_family_first_consensus,provenance_group,max,25,2,4,0.5,7,7;10
external_candidate,261,shuffled_neighbor_family_first_consensus,provenance_group,max,47,4,4,1.0,5,5;6;11;15
external_candidate,262,shuffled_neighbor_family_first_consensus,provenance_group,max,27,3,4,0.75,8,8;13;15
external_candidate,263,shuffled_neighbor_family_first_consensus,provenance_group,max,20,1,4,0.25,1,1
external_candidate,264,shuffled_neighbor_family_first_consensus,provenance_group,max,18,2,4,0.5,6,6;18
external_candidate,265,shuffled_neighbor_family_first_consensus,provenance_group,max,20,3,4,0.75,12,12;15;16
external_candidate,266,shuffled_neighbor_family_first_consensus,provenance_group,max,6,1,4,0.25,15,15
external_candidate,267,shuffled_neighbor_family_first_consensus,provenance_group,max,28,2,4,0.5,2,2;12
external_candidate,268,shuffled_neighbor_family_first_consensus,provenance_group,max,1,1,4,0.25,20,20
external_candidate,269,shuffled_neighbor_family_first_consensus,provenance_group,max,23,2,4,0.5,7,7;12
external_candidate,270,shuffled_neighbor_family_first_consensus,provenance_group,max,13,2,4,0.5,11,11;18
external_candidate,271,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,272,shuffled_neighbor_family_first_consensus,provenance_group,max,20,2,4,0.5,4,4;18
external_candidate,273,shuffled_neighbor_family_first_consensus,provenance_group,max,16,2,4,0.5,6,6;20
external_candidate,274,shuffled_neighbor_family_first_consensus,provenance_group,max,19,2,4,0.5,5,5;18
external_candidate,275,shuffled_neighbor_family_first_consensus,provenance_group,max,38,2,4,0.5,1,1;3
external_candidate,276,shuffled_neighbor_family_first_consensus,provenance_group,max,15,3,4,0.75,11,11;17;20
external_candidate,277,shuffled_neighbor_family_first_consensus,provenance_group,max,50,3,4,0.75,2,2;5;6
external_candidate,278,shuffled_neighbor_family_first_consensus,provenance_group,max,30,3,4,0.75,7,7;12;14
